Nombre del circo,País de origen,Año de fundación,Uso de animales (Sí/No),Tipo de espectáculo,Premios obtenidos
Astley Riding House,Reino Unido,1768,Sí,Tradicional,N/A
Cirque du Soleil,Canadá,1984,No,Contemporáneo,Premio Primetime Emmy
Ringling Bros. and Barnum & Bailey,Estados Unidos,1881,No,Tradicional/Contemporáneo,Oscar al mejor argumento (película inspirada)
Cirque Medrano,Francia,1844,No,Tradicional,Grand Prix de Cirque de París
Circus Vargas,Estados Unidos,1969,No,Contemporáneo,N/A
Lennon Bros Circus,Australia,1893,No,Tradicional,N/A
Circus Krone,Alemania,1870,Sí,Tradicional,N/A
Circus Oz,Australia,1978,No,Contemporáneo,N/A
Cirkus Cirkör,Suecia,1995,No,Contemporáneo,N/A
Cirque Plume,Francia,1984,No,Contemporáneo,N/A
Fuerza Bruta,Argentina,2003,No,Contemporáneo,N/A
The Moscow State Circus,Rusia,1919,Sí,Tradicional,N/A
Tihany Spectacular,Brasil,1945,No,Contemporáneo,Lifetime Achievement Fellowship
NoFit State Circus,Reino Unido (Gales),1986,No,Contemporáneo,Mejor Proyecto Artístico (Lotería Nacional)
Cirque Phénix,Francia,2004,No,Contemporáneo,Golden Clown Award
Big Apple Circus,Estados Unidos,1977,Sí,Tradicional,N/A
The Flying Fruit Fly Circus,Australia,1979,No,Contemporáneo,"Premios Mo, Helpmann y Sydney Theatre"
The Jim Rose Circus Sideshow,Estados Unidos,1990,No,Freak show,N/A
Family Fratellini,Francia,1910,No,Tradicional/Contemporáneo,N/A
New Shanghai Circus,China,1951,No,Tradicional,Medallas nacionales de Oro/Plata/Bronce
Circo de Chengdu,China,1953,No,Tradicional,N/A
Circo Raluy Histórico,España,1972,No,Tradicional,Premio Nacional de Circo
Circo de Moscú,Rusia,1880,Sí,Tradicional,N/A
Circo Bolshoi,Rusia,1971,Sí,Tradicional,N/A
Circo Knie,Suiza,1803,Sí,Tradicional,N/A
