País,Año Hito,Tipo de Restricción,Animales Afectados,Estatus Legal
Austria,2005,Prohibición nacional,Animales salvajes,Vigente 
Bolivia,2009,Prohibición nacional,Salvajes y domésticos,Vigente 
Bosnia-Herzegovina,N/A,Prohibición nacional,Todos los animales,Vigente 
Colombia,2013,Prohibición nacional,Animales salvajes,Vigente 
Costa Rica,2002,Prohibición nacional,Animales salvajes,Vigente 
Croacia,2006,Prohibición nacional,Animales salvajes,Vigente 
Chipre,N/A,Prohibición nacional,Todos los animales,Vigente 
Dinamarca,N/A,Prohibición nacional,Animales salvajes,Vigente 
Ecuador,N/A,Prohibición nacional,Animales salvajes nativos,Vigente 
El Salvador,N/A,Prohibición nacional,Animales salvajes,Vigente 
Eslovenia,N/A,Prohibición nacional,Animales salvajes,Vigente 
Estonia,N/A,Prohibición nacional,Animales salvajes,Vigente 
Finlandia,N/A,Prohibición nacional,Ciertas especies salvajes,Vigente 
Francia,2023,Prohibición progresiva,Animales salvajes,En implementación
Grecia,2012,Prohibición nacional,Todos los animales,Vigente 
Guatemala,N/A,Prohibición nacional,Todos los animales,Vigente 
Honduras,N/A,Prohibición nacional,Todos los animales,Vigente
Hungría,N/A,Prohibición nacional,Elefantes y primates,Vigente 
India,N/A,Prohibición nacional,Ciertas especies salvajes,Vigente 
Irán,N/A,Prohibición nacional,Ciertas especies en circos,Vigente 
Irlanda,2018,Prohibición nacional,Animales salvajes,Vigente 
Israel,N/A,Prohibición nacional,Animales salvajes,Vigente 
Italia,2022,Aprobación de ley,Prohibición gradual,En implementación 
Luxemburgo,N/A,Prohibición nacional,Animales salvajes,Vigente 
Malta,N/A,Prohibición nacional,Todos los animales,Vigente 
México,2014,Prohibición nacional,Animales salvajes,Vigente 
Noruega,N/A,Prohibición nacional,Ciertas especies salvajes,Vigente 
Países Bajos,2015,Prohibición nacional,Animales salvajes,Vigente 
Panamá,N/A,Prohibición nacional,Animales salvajes,Vigente 
Paraguay,N/A,Prohibición nacional,Animales salvajes,Vigente 
Perú,2011,Prohibición nacional,Animales salvajes,Vigente 
Portugal,N/A,Prohibición nacional,Animales salvajes,Vigente 
Reino Unido,2020,Prohibición nacional,Animales salvajes,Vigente 
República Checa,N/A,Prohibición nacional,Ciertas especies recién nacidas,Vigente 
Rumania,N/A,Prohibición nacional,Animales salvajes,Vigente
Singapur,N/A,Prohibición nacional,Animales salvajes,Vigente
Suecia,N/A,Prohibición nacional,Ciertas especies salvajes,Vigente 
Taiwán,N/A,Prohibición nacional,Importación/exportación salvajes,Vigente 
,,,,
Fuentes:,,,,
 Circuses Sin Animales Salvajes - FOUR PAWS International - Organizaci_ - www.four-paws.org,,,,
 Animal Defenders International _ _ Animales en el entretenimiento _ P_ - www.ad-international.org,,,,
":Prohibiciones de los animales de circo - Wikipedia, la enciclopedia l_ - en.wikipedia.org",,,,
